date,original,ab_smoothed,abg_smoothed,kalman_smoothed
2000-01-01,270.0,270.0,270.0,270.0
2001-01-01,311.0,311.0,280.93333333333334,292.5341601305888
2002-01-01,342.0,343.6666666666667,345.7777777777778,330.7444057229002
2004-01-01,362.0,367.3,403.0130511463845,360.55152521294923
2005-01-01,423.0,413.0,445.0345490887713,407.6488252265608
2006-01-01,453.0,450.95238095238096,481.1025141427258,447.44072190840023
2006-04-01,465.0,476.92857142857144,511.4695350481084,474.76475834543743
2006-10-01,472.0,494.6666666666667,535.4159489930933,492.1606627568709
2007-01-01,492.0,512.7555555555556,553.4277135484878,508.6310712053899
2007-04-01,525.0,535.3270649350649,567.3528522956423,530.3583252144845
2007-10-01,532.0,552.5137087760723,578.6518954393366,545.1836557804515
2008-01-01,592.0,581.3289245968846,588.5378369876714,577.7383654115617
2008-04-01,605.0,606.3724900995662,598.6117981129207,603.6327310128378
2008-07-01,607.0,625.4113788104456,608.8016836609863,619.4825259783859
2008-10-01,626.0,643.3208438718938,619.0393932745567,635.1998334429144
2009-11-01,701.0,673.1463446044869,630.1227736056459,675.1556358658453
2010-01-01,825.0,725.105532876457,643.8681568563175,754.065232822036
2010-04-01,839.0,775.9969886181483,661.3049887553585,813.6294280088583
2010-07-01,843.0,822.0726566266408,681.8723374443636,852.4605168432577
2010-10-01,861.0,864.3927378400804,705.0527397731902,881.2785596244129
2010-12-01,875.0,901.4464205781708,730.4755752018721,901.3735039333391
2011-01-01,894.0,933.5386838884357,757.795669518746,917.8852320615978
2011-04-01,911.0,960.3102872925027,786.7234707445422,931.7836244510555
2011-10-01,934.0,982.8918248126969,817.01033002765,947.1131425881584
2011-12-01,953.0,1001.3365794939754,848.4474034256501,962.4607922542269
2012-01-01,1017.0,1022.7879750964556,881.006221808177,997.4663556182721
2012-04-01,1037.0,1043.5586233508475,914.7068228579374,1028.3719874977517
2012-07-01,1044.0,1061.7389844990125,949.3051041633231,1050.0887228363072
2012-10-01,1060.0,1078.173172715032,984.5565100594047,1068.6449403575969
2012-12-01,1095.0,1095.938378881446,1020.3381497142847,1093.2016748818621
2013-01-01,1108.0,1112.913733812382,1056.5446734053057,1113.0358875040479
2013-12-01,1176.0,1137.149686798687,1093.1554344828764,1152.8430027004756
2014-01-01,1176.0,1160.8582718931516,1130.1510797795593,1178.3874493420806
2015-01-01,1176.0,1182.2219074719942,1167.3061478241466,1192.7417882005425
2015-09-01,1330.0,1222.9832451162508,1204.7748622341733,1264.7499867867286
2016-01-01,1330.0,1266.191722504569,1242.7680993838428,1313.7179652894704
2016-05-01,1399.0,1318.3735904842738,1281.2246958282249,1373.1636816896212
2016-12-01,1544.0,1390.928291028281,1320.4008684663263,1472.195374823215
2017-01-01,1544.0,1464.8455232084248,1360.422889784506,1537.4216019606565
2017-05-01,1624.0,1546.0075287048728,1401.232380845976,1609.7337544086276
2017-12-01,1700.0,1632.6346310804638,1442.928105787017,1685.3061668550006
2018-01-01,1700.0,1711.6568976132792,1485.4646420619722,1730.343465809423
2018-07-01,1777.0,1789.44327235711,1528.776745516345,1785.4446578021407
2018-12-01,1853.0,1865.9662291007971,1572.934631236562,1848.472421443191
2019-01-01,1853.0,1929.9734440048676,1617.8897485645432,1885.120836004066
2019-07-01,1936.0,1990.671701152938,1663.5863521675897,1937.767531492299
2019-12-01,2027.0,2051.5414836365626,1710.1069711603295,2006.583116554339
2020-01-01,2027.0,2101.3174800567185,1757.4225464987671,2048.4250458182614
2020-07-01,2118.0,2151.3316786093137,1805.4860745235558,2108.7273279015735
2020-12-01,2189.0,2201.8272130902747,1854.3500334548983,2174.693280901315
2021-01-01,2189.0,2243.7222403518695,1903.9561645314545,2214.18055673359
2021-07-01,2294.0,2290.7052342960756,1954.273188771752,2278.668295397379
2021-12-01,2393.0,2345.7543604049647,2005.3876420917911,2359.704880204756
2022-01-01,2393.0,2396.325768765123,2057.272678114334,2410.0706537414108
2022-07-01,2508.0,2456.295404370048,2109.90308833977,2486.0198861514227
2022-12-01,2589.0,2523.5559622846304,2163.342917955949,2566.722720714993
2023-01-01,2589.0,2585.962959529255,2217.5432292032733,2615.595574170398
2024-01-01,2920.0,2688.9018704248456,2272.6620318659907,2781.800881328891
2025-01-01,2920.0,2794.88779505211,2328.8808209097206,2893.360190436926
